Category,Region,Year,Unit,Value
Hardwood,Dambovita,2015, Thousands hectares,101.9
Hardwood,Dambovita,2016, Thousands hectares,101.9
Hardwood,Dambovita,2017, Thousands hectares,101.9
Hardwood,Dambovita,2018, Thousands hectares,101.9
Hardwood,Dambovita,2019, Thousands hectares,101.6
Hardwood,Giurgiu,1990, Thousands hectares,38.1
Hardwood,Giurgiu,1991, Thousands hectares,44.2
Hardwood,Giurgiu,1992, Thousands hectares,37.8
Hardwood,Giurgiu,1993, Thousands hectares,37.5
Hardwood,Giurgiu,1994, Thousands hectares,35.8
Hardwood,Giurgiu,1995, Thousands hectares,35.7
Hardwood,Giurgiu,1996, Thousands hectares,35.8
Hardwood,Giurgiu,1997, Thousands hectares,35.7
Hardwood,Giurgiu,1998, Thousands hectares,35.6
Hardwood,Giurgiu,1999, Thousands hectares,35.5
Hardwood,Giurgiu,2000, Thousands hectares,35.4
Hardwood,Giurgiu,2001, Thousands hectares,35.6
Hardwood,Giurgiu,2002, Thousands hectares,35.7
Hardwood,Giurgiu,2003, Thousands hectares,35.1
Hardwood,Giurgiu,2004, Thousands hectares,35.9
Hardwood,Giurgiu,2005, Thousands hectares,35.9
Hardwood,Giurgiu,2006, Thousands hectares,35.8
Hardwood,Giurgiu,2007, Thousands hectares,35.6
Hardwood,Giurgiu,2008, Thousands hectares,35.7
Hardwood,Giurgiu,2009, Thousands hectares,36.3
Hardwood,Giurgiu,2010, Thousands hectares,35.6
Hardwood,Giurgiu,2011, Thousands hectares,35.9
Hardwood,Giurgiu,2012, Thousands hectares,36.5
Hardwood,Giurgiu,2013, Thousands hectares,36.6
Hardwood,Giurgiu,2014, Thousands hectares,36.6
Hardwood,Giurgiu,2015, Thousands hectares,36.6
Hardwood,Giurgiu,2016, Thousands hectares,36.6
Hardwood,Giurgiu,2017, Thousands hectares,36.5
Hardwood,Giurgiu,2018, Thousands hectares,36.5
Hardwood,Giurgiu,2019, Thousands hectares,36.6
Hardwood,Ialomita,1990, Thousands hectares,24.8
Hardwood,Ialomita,1991, Thousands hectares,24.8
Hardwood,Ialomita,1992, Thousands hectares,24.7
Hardwood,Ialomita,1993, Thousands hectares,24.5
Hardwood,Ialomita,1994, Thousands hectares,24.2
Hardwood,Ialomita,1995, Thousands hectares,24.5
Hardwood,Ialomita,1996, Thousands hectares,24.4
Hardwood,Ialomita,1997, Thousands hectares,23.8
Hardwood,Ialomita,1998, Thousands hectares,23.8
Hardwood,Ialomita,1999, Thousands hectares,24.0
Hardwood,Ialomita,2000, Thousands hectares,23.9
Hardwood,Ialomita,2001, Thousands hectares,23.9
Hardwood,Ialomita,2002, Thousands hectares,24.2
Hardwood,Ialomita,2003, Thousands hectares,24.3
Hardwood,Ialomita,2004, Thousands hectares,24.1
Hardwood,Ialomita,2005, Thousands hectares,24.1
Hardwood,Ialomita,2006, Thousands hectares,24.3
Hardwood,Ialomita,2007, Thousands hectares,24.2
Hardwood,Ialomita,2008, Thousands hectares,24.2
Hardwood,Ialomita,2009, Thousands hectares,24.2
Hardwood,Ialomita,2010, Thousands hectares,24.0
Hardwood,Ialomita,2011, Thousands hectares,24.4
Hardwood,Ialomita,2012, Thousands hectares,24.8
Hardwood,Ialomita,2013, Thousands hectares,24.7
Hardwood,Ialomita,2014, Thousands hectares,24.7
Hardwood,Ialomita,2015, Thousands hectares,24.8
Hardwood,Ialomita,2016, Thousands hectares,24.8
Hardwood,Ialomita,2017, Thousands hectares,24.8
Hardwood,Ialomita,2018, Thousands hectares,24.8
Hardwood,Ialomita,2019, Thousands hectares,24.8
Hardwood,Prahova,1990, Thousands hectares,113.4
Hardwood,Prahova,1991, Thousands hectares,113.2
Hardwood,Prahova,1992, Thousands hectares,113.1
Hardwood,Prahova,1993, Thousands hectares,112.9
Hardwood,Prahova,1994, Thousands hectares,111.1
Hardwood,Prahova,1995, Thousands hectares,111.2
Hardwood,Prahova,1996, Thousands hectares,111.7
Hardwood,Prahova,1997, Thousands hectares,112.5
Hardwood,Prahova,1998, Thousands hectares,112.5
Hardwood,Prahova,1999, Thousands hectares,112.1
Hardwood,Prahova,2000, Thousands hectares,112.0
Hardwood,Prahova,2001, Thousands hectares,112.1
Hardwood,Prahova,2002, Thousands hectares,112.2
Hardwood,Prahova,2003, Thousands hectares,111.9
Hardwood,Prahova,2004, Thousands hectares,111.9
Hardwood,Prahova,2005, Thousands hectares,113.0
Hardwood,Prahova,2006, Thousands hectares,112.6
Hardwood,Prahova,2007, Thousands hectares,111.9
Hardwood,Prahova,2008, Thousands hectares,112.2
Hardwood,Prahova,2009, Thousands hectares,112.0
Hardwood,Prahova,2010, Thousands hectares,112.7
Hardwood,Prahova,2011, Thousands hectares,112.7
Hardwood,Prahova,2012, Thousands hectares,111.9
Hardwood,Prahova,2013, Thousands hectares,111.9
Hardwood,Prahova,2014, Thousands hectares,111.5
Hardwood,Prahova,2015, Thousands hectares,111.6
Hardwood,Prahova,2016, Thousands hectares,111.6
Hardwood,Prahova,2017, Thousands hectares,111.6
Hardwood,Prahova,2018, Thousands hectares,111.6
Hardwood,Prahova,2019, Thousands hectares,111.5
Hardwood,Teleorman,1990, Thousands hectares,26.2
Hardwood,Teleorman,1991, Thousands hectares,26.5
Hardwood,Teleorman,1992, Thousands hectares,26.2
Hardwood,Teleorman,1993, Thousands hectares,25.2
Hardwood,Teleorman,1994, Thousands hectares,27.1
Hardwood,Teleorman,1995, Thousands hectares,26.8
Hardwood,Teleorman,1996, Thousands hectares,26.5
Hardwood,Teleorman,1997, Thousands hectares,26.5
Hardwood,Teleorman,1998, Thousands hectares,26.2
Hardwood,Teleorman,1999, Thousands hectares,26.0
Hardwood,Teleorman,2000, Thousands hectares,25.9
Hardwood,Teleorman,2001, Thousands hectares,25.9
Hardwood,Teleorman,2002, Thousands hectares,26.3
Hardwood,Teleorman,2003, Thousands hectares,25.9
Hardwood,Teleorman,2004, Thousands hectares,25.9
Hardwood,Teleorman,2005, Thousands hectares,26.0
Hardwood,Teleorman,2006, Thousands hectares,26.5
Hardwood,Teleorman,2007, Thousands hectares,25.8
Hardwood,Teleorman,2008, Thousands hectares,25.8
Hardwood,Teleorman,2009, Thousands hectares,26.0
Hardwood,Teleorman,2010, Thousands hectares,27.1
Hardwood,Teleorman,2011, Thousands hectares,26.3
Hardwood,Teleorman,2012, Thousands hectares,26.2
Hardwood,Teleorman,2013, Thousands hectares,26.3
Hardwood,Teleorman,2014, Thousands hectares,26.5
Hardwood,Teleorman,2015, Thousands hectares,26.5
Hardwood,Teleorman,2016, Thousands hectares,26.4
Hardwood,Teleorman,2017, Thousands hectares,26.5
Hardwood,Teleorman,2018, Thousands hectares,26.4
Hardwood,Teleorman,2019, Thousands hectares,26.7
Hardwood,Regiunea BUCURESTI - ILFOV,1990, Thousands hectares,25.3
Hardwood,Regiunea BUCURESTI - ILFOV,1991, Thousands hectares,19.2
Hardwood,Regiunea BUCURESTI - ILFOV,1992, Thousands hectares,25.3
Hardwood,Regiunea BUCURESTI - ILFOV,1993, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,1994, Thousands hectares,25.0
Hardwood,Regiunea BUCURESTI - ILFOV,1995, Thousands hectares,24.7
Hardwood,Regiunea BUCURESTI - ILFOV,1996, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,1997, Thousands hectares,24.6
Hardwood,Regiunea BUCURESTI - ILFOV,1998, Thousands hectares,24.6
Hardwood,Regiunea BUCURESTI - ILFOV,1999, Thousands hectares,24.4
Hardwood,Regiunea BUCURESTI - ILFOV,2000, Thousands hectares,24.7
Hardwood,Regiunea BUCURESTI - ILFOV,2001, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2002, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2003, Thousands hectares,24.7
Hardwood,Regiunea BUCURESTI - ILFOV,2004, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2005, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2006, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2007, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2008, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2009, Thousands hectares,24.7
Hardwood,Regiunea BUCURESTI - ILFOV,2010, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2011, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2012, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2013, Thousands hectares,25.0
Hardwood,Regiunea BUCURESTI - ILFOV,2014, Thousands hectares,25.0
Hardwood,Regiunea BUCURESTI - ILFOV,2015, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2016, Thousands hectares,24.9
Hardwood,Regiunea BUCURESTI - ILFOV,2017, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2018, Thousands hectares,24.8
Hardwood,Regiunea BUCURESTI - ILFOV,2019, Thousands hectares,25.0
Hardwood,Ilfov,1990, Thousands hectares,25.3
Hardwood,Ilfov,1991, Thousands hectares,19.2
Hardwood,Ilfov,1992, Thousands hectares,25.3
Hardwood,Ilfov,1993, Thousands hectares,24.8
Hardwood,Ilfov,1994, Thousands hectares,25.0
Hardwood,Ilfov,1995, Thousands hectares,24.7
Hardwood,Ilfov,1996, Thousands hectares,24.8
Hardwood,Ilfov,1997, Thousands hectares,24.6
Hardwood,Ilfov,1998, Thousands hectares,24.6
Hardwood,Ilfov,1999, Thousands hectares,24.4
Hardwood,Ilfov,2000, Thousands hectares,24.7
Hardwood,Ilfov,2001, Thousands hectares,24.2
Hardwood,Ilfov,2002, Thousands hectares,24.3
Hardwood,Ilfov,2003, Thousands hectares,24.1
Hardwood,Ilfov,2004, Thousands hectares,24.3
Hardwood,Ilfov,2005, Thousands hectares,24.3
Hardwood,Ilfov,2006, Thousands hectares,24.3
Hardwood,Ilfov,2007, Thousands hectares,24.2
Hardwood,Ilfov,2008, Thousands hectares,24.3
Hardwood,Ilfov,2009, Thousands hectares,24.1
Hardwood,Ilfov,2010, Thousands hectares,24.2
Hardwood,Ilfov,2011, Thousands hectares,24.2
Hardwood,Ilfov,2012, Thousands hectares,24.2
Hardwood,Ilfov,2013, Thousands hectares,24.4
Hardwood,Ilfov,2014, Thousands hectares,24.4
Hardwood,Ilfov,2015, Thousands hectares,24.4
Hardwood,Ilfov,2016, Thousands hectares,24.4
Hardwood,Ilfov,2017, Thousands hectares,24.3
Hardwood,Ilfov,2018, Thousands hectares,24.3
Hardwood,Ilfov,2019, Thousands hectares,24.5
Hardwood,Bucuresti,2001, Thousands hectares,0.6
Hardwood,Bucuresti,2002, Thousands hectares,0.6
Hardwood,Bucuresti,2003, Thousands hectares,0.6
Hardwood,Bucuresti,2004, Thousands hectares,0.6
Hardwood,Bucuresti,2005, Thousands hectares,0.6
Hardwood,Bucuresti,2006, Thousands hectares,0.6
Hardwood,Bucuresti,2007, Thousands hectares,0.6
Hardwood,Bucuresti,2008, Thousands hectares,0.6
Hardwood,Bucuresti,2009, Thousands hectares,0.6
Hardwood,Bucuresti,2010, Thousands hectares,0.6
Hardwood,Bucuresti,2011, Thousands hectares,0.6
Hardwood,Bucuresti,2012, Thousands hectares,0.6
Hardwood,Bucuresti,2013, Thousands hectares,0.6
Hardwood,Bucuresti,2014, Thousands hectares,0.6
Hardwood,Bucuresti,2015, Thousands hectares,0.5
Hardwood,Bucuresti,2016, Thousands hectares,0.5
Hardwood,Bucuresti,2017, Thousands hectares,0.5
Hardwood,Bucuresti,2018, Thousands hectares,0.5
Hardwood,Bucuresti,2019, Thousands hectares,0.5
Hardwood,MACROREGIUNEA PATRU,1990, Thousands hectares,1477.7
Hardwood,MACROREGIUNEA PATRU,1991, Thousands hectares,1476.8
Hardwood,MACROREGIUNEA PATRU,1992, Thousands hectares,1477.9
Hardwood,MACROREGIUNEA PATRU,1993, Thousands hectares,1491.2
Hardwood,MACROREGIUNEA PATRU,1994, Thousands hectares,1489.5
Hardwood,MACROREGIUNEA PATRU,1995, Thousands hectares,1490.7
Hardwood,MACROREGIUNEA PATRU,1996, Thousands hectares,1497.5
Hardwood,MACROREGIUNEA PATRU,1997, Thousands hectares,1499.2
Hardwood,MACROREGIUNEA PATRU,1998, Thousands hectares,1501.3
Hardwood,MACROREGIUNEA PATRU,1999, Thousands hectares,1503.1
Hardwood,MACROREGIUNEA PATRU,2000, Thousands hectares,1504.5
Hardwood,MACROREGIUNEA PATRU,2001, Thousands hectares,1506.7
Hardwood,MACROREGIUNEA PATRU,2002, Thousands hectares,1503.6
Hardwood,MACROREGIUNEA PATRU,2003, Thousands hectares,1501.9
Hardwood,MACROREGIUNEA PATRU,2004, Thousands hectares,1504.4
Hardwood,MACROREGIUNEA PATRU,2005, Thousands hectares,1491.2
Hardwood,MACROREGIUNEA PATRU,2006, Thousands hectares,1509.8
Hardwood,MACROREGIUNEA PATRU,2007, Thousands hectares,1514.5
Hardwood,MACROREGIUNEA PATRU,2008, Thousands hectares,1513.0
Hardwood,MACROREGIUNEA PATRU,2009, Thousands hectares,1514.9
Hardwood,MACROREGIUNEA PATRU,2010, Thousands hectares,1525.3
Hardwood,MACROREGIUNEA PATRU,2011, Thousands hectares,1531.7
Hardwood,MACROREGIUNEA PATRU,2012, Thousands hectares,1536.2
Hardwood,MACROREGIUNEA PATRU,2013, Thousands hectares,1543.3
Hardwood,MACROREGIUNEA PATRU,2014, Thousands hectares,1548.9
Hardwood,MACROREGIUNEA PATRU,2015, Thousands hectares,1555.5
Hardwood,MACROREGIUNEA PATRU,2016, Thousands hectares,1556.0
Hardwood,MACROREGIUNEA PATRU,2017, Thousands hectares,1556.4
Hardwood,MACROREGIUNEA PATRU,2018, Thousands hectares,1564.2
Hardwood,MACROREGIUNEA PATRU,2019, Thousands hectares,1569.1
Hardwood,Regiunea SUD-VEST OLTENIA,1990, Thousands hectares,666.4
Hardwood,Regiunea SUD-VEST OLTENIA,1991, Thousands hectares,665.8
Hardwood,Regiunea SUD-VEST OLTENIA,1992, Thousands hectares,666.2
Hardwood,Regiunea SUD-VEST OLTENIA,1993, Thousands hectares,672.7
Hardwood,Regiunea SUD-VEST OLTENIA,1994, Thousands hectares,673.4
Hardwood,Regiunea SUD-VEST OLTENIA,1995, Thousands hectares,667.6
Hardwood,Regiunea SUD-VEST OLTENIA,1996, Thousands hectares,667.0
Hardwood,Regiunea SUD-VEST OLTENIA,1997, Thousands hectares,667.7
Hardwood,Regiunea SUD-VEST OLTENIA,1998, Thousands hectares,668.3
Hardwood,Regiunea SUD-VEST OLTENIA,1999, Thousands hectares,670.1
Hardwood,Regiunea SUD-VEST OLTENIA,2000, Thousands hectares,671.4
Hardwood,Regiunea SUD-VEST OLTENIA,2001, Thousands hectares,672.6
Hardwood,Regiunea SUD-VEST OLTENIA,2002, Thousands hectares,672.2
Hardwood,Regiunea SUD-VEST OLTENIA,2003, Thousands hectares,672.4
Hardwood,Regiunea SUD-VEST OLTENIA,2004, Thousands hectares,674.4
Hardwood,Regiunea SUD-VEST OLTENIA,2005, Thousands hectares,660.7
Hardwood,Regiunea SUD-VEST OLTENIA,2006, Thousands hectares,657.4
Hardwood,Regiunea SUD-VEST OLTENIA,2007, Thousands hectares,660.0
Hardwood,Regiunea SUD-VEST OLTENIA,2008, Thousands hectares,658.7
Hardwood,Regiunea SUD-VEST OLTENIA,2009, Thousands hectares,658.5
Hardwood,Regiunea SUD-VEST OLTENIA,2010, Thousands hectares,657.4
Hardwood,Regiunea SUD-VEST OLTENIA,2011, Thousands hectares,660.2
Hardwood,Regiunea SUD-VEST OLTENIA,2012, Thousands hectares,660.9
Hardwood,Regiunea SUD-VEST OLTENIA,2013, Thousands hectares,662.3
Hardwood,Regiunea SUD-VEST OLTENIA,2014, Thousands hectares,662.0
Hardwood,Regiunea SUD-VEST OLTENIA,2015, Thousands hectares,663.5
Hardwood,Regiunea SUD-VEST OLTENIA,2016, Thousands hectares,663.2
Hardwood,Regiunea SUD-VEST OLTENIA,2017, Thousands hectares,661.5
Hardwood,Regiunea SUD-VEST OLTENIA,2018, Thousands hectares,662.0
Hardwood,Regiunea SUD-VEST OLTENIA,2019, Thousands hectares,662.0
Hardwood,Dolj,1990, Thousands hectares,77.4
Hardwood,Dolj,1991, Thousands hectares,77.7
Hardwood,Dolj,1992, Thousands hectares,77.1
Hardwood,Dolj,1993, Thousands hectares,76.7
Hardwood,Dolj,1994, Thousands hectares,77.0
Hardwood,Dolj,1995, Thousands hectares,77.4
Hardwood,Dolj,1996, Thousands hectares,77.1
Hardwood,Dolj,1997, Thousands hectares,77.1
Hardwood,Dolj,1998, Thousands hectares,77.1
Hardwood,Dolj,1999, Thousands hectares,77.9
Hardwood,Dolj,2000, Thousands hectares,78.1
Hardwood,Dolj,2001, Thousands hectares,78.9
Hardwood,Dolj,2002, Thousands hectares,79.3
Hardwood,Dolj,2003, Thousands hectares,80.1
Hardwood,Dolj,2004, Thousands hectares,80.8
Hardwood,Dolj,2005, Thousands hectares,81.2
Hardwood,Dolj,2006, Thousands hectares,81.1
Hardwood,Dolj,2007, Thousands hectares,80.7
Hardwood,Dolj,2008, Thousands hectares,80.8
Hardwood,Dolj,2009, Thousands hectares,80.6
Hardwood,Dolj,2010, Thousands hectares,80.6
Hardwood,Dolj,2011, Thousands hectares,81.6
Hardwood,Dolj,2012, Thousands hectares,81.5
Hardwood,Dolj,2013, Thousands hectares,83.2
Hardwood,Dolj,2014, Thousands hectares,83.4
Hardwood,Dolj,2015, Thousands hectares,83.6
Hardwood,Dolj,2016, Thousands hectares,83.6
Hardwood,Dolj,2017, Thousands hectares,80.7
Hardwood,Dolj,2018, Thousands hectares,80.9
Hardwood,Dolj,2019, Thousands hectares,80.8
Hardwood,Gorj,1990, Thousands hectares,218.8
Hardwood,Gorj,1991, Thousands hectares,218.6
Hardwood,Gorj,1992, Thousands hectares,219.6
Hardwood,Gorj,1993, Thousands hectares,223.4
Hardwood,Gorj,1994, Thousands hectares,224.7
Hardwood,Gorj,1995, Thousands hectares,219.4
Hardwood,Gorj,1996, Thousands hectares,219.4
Hardwood,Gorj,1997, Thousands hectares,219.4
Hardwood,Gorj,1998, Thousands hectares,218.8
Hardwood,Gorj,1999, Thousands hectares,219.3
Hardwood,Gorj,2000, Thousands hectares,219.3
Hardwood,Gorj,2001, Thousands hectares,219.6
Hardwood,Gorj,2002, Thousands hectares,219.3
Hardwood,Gorj,2003, Thousands hectares,219.8
Hardwood,Gorj,2004, Thousands hectares,219.7
Hardwood,Gorj,2005, Thousands hectares,220.5
Hardwood,Gorj,2006, Thousands hectares,219.5
Hardwood,Gorj,2007, Thousands hectares,221.0
Hardwood,Gorj,2008, Thousands hectares,218.4
Hardwood,Gorj,2009, Thousands hectares,218.4
Hardwood,Gorj,2010, Thousands hectares,217.2
Hardwood,Gorj,2011, Thousands hectares,217.3
Hardwood,Gorj,2012, Thousands hectares,217.3
Hardwood,Gorj,2013, Thousands hectares,216.7
Hardwood,Gorj,2014, Thousands hectares,217.0
Hardwood,Gorj,2015, Thousands hectares,217.5
Hardwood,Gorj,2016, Thousands hectares,217.6
Hardwood,Gorj,2017, Thousands hectares,217.9
Hardwood,Gorj,2018, Thousands hectares,218.1
Hardwood,Gorj,2019, Thousands hectares,217.8
Hardwood,Mehedinti,1990, Thousands hectares,133.4
Hardwood,Mehedinti,1991, Thousands hectares,133.5
Hardwood,Mehedinti,1992, Thousands hectares,133.9
Hardwood,Mehedinti,1993, Thousands hectares,135.4
Hardwood,Mehedinti,1994, Thousands hectares,135.4
Hardwood,Mehedinti,1995, Thousands hectares,135.2
Hardwood,Mehedinti,1996, Thousands hectares,135.2
Hardwood,Mehedinti,1997, Thousands hectares,135.1
Hardwood,Mehedinti,1998, Thousands hectares,135.2
Hardwood,Mehedinti,1999, Thousands hectares,135.3
Hardwood,Mehedinti,2000, Thousands hectares,136.5
Hardwood,Mehedinti,2001, Thousands hectares,136.9
Hardwood,Mehedinti,2002, Thousands hectares,136.6
Hardwood,Mehedinti,2003, Thousands hectares,137.3
Hardwood,Mehedinti,2004, Thousands hectares,137.3
Hardwood,Mehedinti,2005, Thousands hectares,137.9
Hardwood,Mehedinti,2006, Thousands hectares,137.8
Hardwood,Mehedinti,2007, Thousands hectares,138.9
Hardwood,Mehedinti,2008, Thousands hectares,139.1
Hardwood,Mehedinti,2009, Thousands hectares,138.6
Hardwood,Mehedinti,2010, Thousands hectares,138.6
Hardwood,Mehedinti,2011, Thousands hectares,138.7
Hardwood,Mehedinti,2012, Thousands hectares,139.0
Hardwood,Mehedinti,2013, Thousands hectares,139.0
Hardwood,Mehedinti,2014, Thousands hectares,137.9
Hardwood,Mehedinti,2015, Thousands hectares,138.4
Hardwood,Mehedinti,2016, Thousands hectares,138.5
Hardwood,Mehedinti,2017, Thousands hectares,139.9
Hardwood,Mehedinti,2018, Thousands hectares,140.0
Hardwood,Mehedinti,2019, Thousands hectares,139.8
Hardwood,Olt,1990, Thousands hectares,50.9
Hardwood,Olt,1991, Thousands hectares,50.7
Hardwood,Olt,1992, Thousands hectares,50.5
Hardwood,Olt,1993, Thousands hectares,50.4
Hardwood,Olt,1994, Thousands hectares,49.5
Hardwood,Olt,1995, Thousands hectares,49.5
Hardwood,Olt,1996, Thousands hectares,49.4
Hardwood,Olt,1997, Thousands hectares,49.6
Hardwood,Olt,1998, Thousands hectares,49.6
Hardwood,Olt,1999, Thousands hectares,49.8
Hardwood,Olt,2000, Thousands hectares,49.7
Hardwood,Olt,2001, Thousands hectares,49.3
Hardwood,Olt,2002, Thousands hectares,49.1
Hardwood,Olt,2003, Thousands hectares,49.0
Hardwood,Olt,2004, Thousands hectares,49.4
Hardwood,Olt,2005, Thousands hectares,49.7
Hardwood,Olt,2006, Thousands hectares,48.6
Hardwood,Olt,2007, Thousands hectares,49.2
Hardwood,Olt,2008, Thousands hectares,50.0
Hardwood,Olt,2009, Thousands hectares,49.5
Hardwood,Olt,2010, Thousands hectares,49.6
Hardwood,Olt,2011, Thousands hectares,50.9
Hardwood,Olt,2012, Thousands hectares,50.9
Hardwood,Olt,2013, Thousands hectares,51.1
Hardwood,Olt,2014, Thousands hectares,51.3
Hardwood,Olt,2015, Thousands hectares,51.6
Hardwood,Olt,2016, Thousands hectares,51.6
Hardwood,Olt,2017, Thousands hectares,51.0
Hardwood,Olt,2018, Thousands hectares,51.1
Hardwood,Olt,2019, Thousands hectares,51.2
Hardwood,Valcea,1990, Thousands hectares,185.9
Hardwood,Valcea,1991, Thousands hectares,185.3
Hardwood,Valcea,1992, Thousands hectares,185.1
Hardwood,Valcea,1993, Thousands hectares,186.8
Hardwood,Valcea,1994, Thousands hectares,186.8
Hardwood,Valcea,1995, Thousands hectares,186.1
Hardwood,Valcea,1996, Thousands hectares,185.9
Hardwood,Valcea,1997, Thousands hectares,186.5
Hardwood,Valcea,1998, Thousands hectares,187.6
Hardwood,Valcea,1999, Thousands hectares,187.8
Hardwood,Valcea,2000, Thousands hectares,187.8
Hardwood,Valcea,2001, Thousands hectares,187.9
Hardwood,Valcea,2002, Thousands hectares,187.9
Hardwood,Valcea,2003, Thousands hectares,186.2
Hardwood,Valcea,2004, Thousands hectares,187.2
Hardwood,Valcea,2005, Thousands hectares,171.4
Hardwood,Valcea,2006, Thousands hectares,170.4
Hardwood,Valcea,2007, Thousands hectares,170.2
Hardwood,Valcea,2008, Thousands hectares,170.4
Hardwood,Valcea,2009, Thousands hectares,171.4
Hardwood,Valcea,2010, Thousands hectares,171.4
Hardwood,Valcea,2011, Thousands hectares,171.7
Hardwood,Valcea,2012, Thousands hectares,172.2
Hardwood,Valcea,2013, Thousands hectares,172.3
Hardwood,Valcea,2014, Thousands hectares,172.4
Hardwood,Valcea,2015, Thousands hectares,172.4
Hardwood,Valcea,2016, Thousands hectares,171.9
Hardwood,Valcea,2017, Thousands hectares,172.0
Hardwood,Valcea,2018, Thousands hectares,171.9
Hardwood,Valcea,2019, Thousands hectares,172.4
Hardwood,Regiunea VEST,1990, Thousands hectares,811.3
Hardwood,Regiunea VEST,1991, Thousands hectares,811.0
Hardwood,Regiunea VEST,1992, Thousands hectares,811.7
Hardwood,Regiunea VEST,1993, Thousands hectares,818.5
Hardwood,Regiunea VEST,1994, Thousands hectares,816.1
Hardwood,Regiunea VEST,1995, Thousands hectares,823.1
Hardwood,Regiunea VEST,1996, Thousands hectares,830.5
Hardwood,Regiunea VEST,1997, Thousands hectares,831.5
Hardwood,Regiunea VEST,1998, Thousands hectares,833.0
Hardwood,Regiunea VEST,1999, Thousands hectares,833.0
Hardwood,Regiunea VEST,2000, Thousands hectares,833.1
Hardwood,Regiunea VEST,2001, Thousands hectares,834.1
Hardwood,Regiunea VEST,2002, Thousands hectares,831.4
Hardwood,Regiunea VEST,2003, Thousands hectares,829.5
Hardwood,Regiunea VEST,2004, Thousands hectares,830.0
Hardwood,Regiunea VEST,2005, Thousands hectares,830.5
Hardwood,Regiunea VEST,2006, Thousands hectares,852.4
Hardwood,Regiunea VEST,2007, Thousands hectares,854.5
Hardwood,Regiunea VEST,2008, Thousands hectares,854.3
Hardwood,Regiunea VEST,2009, Thousands hectares,856.4
Hardwood,Regiunea VEST,2010, Thousands hectares,867.9
Hardwood,Regiunea VEST,2011, Thousands hectares,871.5
Hardwood,Regiunea VEST,2012, Thousands hectares,875.3
Hardwood,Regiunea VEST,2013, Thousands hectares,881.0
Hardwood,Regiunea VEST,2014, Thousands hectares,886.9
Hardwood,Regiunea VEST,2015, Thousands hectares,892.0
Hardwood,Regiunea VEST,2016, Thousands hectares,892.8
Hardwood,Regiunea VEST,2017, Thousands hectares,894.9
Hardwood,Regiunea VEST,2018, Thousands hectares,902.2
Hardwood,Regiunea VEST,2019, Thousands hectares,907.1
Hardwood,Arad,1990, Thousands hectares,182.3
Hardwood,Arad,1991, Thousands hectares,182.3
Hardwood,Arad,1992, Thousands hectares,182.4
Hardwood,Arad,1993, Thousands hectares,184.7
Hardwood,Arad,1994, Thousands hectares,182.6
Hardwood,Arad,1995, Thousands hectares,182.7
Hardwood,Arad,1996, Thousands hectares,184.3
Hardwood,Arad,1997, Thousands hectares,184.9
Hardwood,Arad,1998, Thousands hectares,185.0
Hardwood,Arad,1999, Thousands hectares,185.1
Hardwood,Arad,2000, Thousands hectares,184.9
Hardwood,Arad,2001, Thousands hectares,184.9
Hardwood,Arad,2002, Thousands hectares,184.8
Hardwood,Arad,2003, Thousands hectares,183.2
Hardwood,Arad,2004, Thousands hectares,182.2
Hardwood,Arad,2005, Thousands hectares,181.7
Hardwood,Arad,2006, Thousands hectares,182.5
Hardwood,Arad,2007, Thousands hectares,186.7
Hardwood,Arad,2008, Thousands hectares,187.4
Hardwood,Arad,2009, Thousands hectares,190.2
Hardwood,Arad,2010, Thousands hectares,193.5
Hardwood,Arad,2011, Thousands hectares,194.7
Hardwood,Arad,2012, Thousands hectares,194.7
Hardwood,Arad,2013, Thousands hectares,194.7
Hardwood,Arad,2014, Thousands hectares,195.0
Hardwood,Arad,2015, Thousands hectares,194.8
Hardwood,Arad,2016, Thousands hectares,194.5
Hardwood,Arad,2017, Thousands hectares,194.4
Hardwood,Arad,2018, Thousands hectares,194.7
Hardwood,Arad,2019, Thousands hectares,195.5
Hardwood,Caras-Severin,1990, Thousands hectares,323.9
Hardwood,Caras-Severin,1991, Thousands hectares,323.7
Hardwood,Caras-Severin,1992, Thousands hectares,323.8
Hardwood,Caras-Severin,1993, Thousands hectares,326.5
Hardwood,Caras-Severin,1994, Thousands hectares,326.0
Hardwood,Caras-Severin,1995, Thousands hectares,327.0
